Megatrend,Area,Firm,Short Description,Keywords,Role of Utility,Website,Twitter Handle,Country,Language,Year Founded,Funding Status,Total Funding Amount (National Currency),Currency,Total Funding Amount (USD),IPO Date,,,,,,,,,,
Water Management,Hydrostor - Innovation Area,Hydrostor,Hydrostor is a startup focused on sustainability solutions.,"hydrostor, sustainability",Environmental Impact,https://www.hydrostor.com,https://twitter.com/hydrostor,USA,English,2014.0,Series A,$5M,USD,88646620,,,,,,,,,,,
Clean Energy,Sylvera - Innovation Area,Sylvera,Sylvera is a startup focused on sustainability solutions.,"sylvera, sustainability",Environmental Impact,https://www.sylvera.com,https://twitter.com/sylvera,USA,English,2014.0,Series C,$67M,USD,123111326,,,,,,,,,,,
AgriTech,Remora - Innovation Area,Remora,Remora is a startup focused on sustainability solutions.,"remora, sustainability",Environmental Impact,https://www.remora.com,https://twitter.com/remora,India,English,2016.0,Series B,$41M,USD,37113800,,,,,,,,,,,
Water Management,Planet A Foods - Innovation Area,Planet A Foods,Planet A Foods is a startup focused on sustainability solutions.,"planet a foods, sustainability",Environmental Impact,https://www.planetafoods.com,https://twitter.com/planetafoods,USA,English,2015.0,Series A,$84M,USD,139121678,,,,,,,,,,,
Fintech & Payments,Lynq - Innovation Area,Lynq,Lynq is a startup focused on sustainability solutions.,"lynq, sustainability",Environmental Impact,https://www.lynq.com,https://twitter.com/lynq,USA,English,2023.0,Seed,$62M,USD,18243665,,,,,,,,,,,
Sustainable Mobility,Rondo Energy - Innovation Area,Rondo Energy,Rondo Energy is a startup focused on sustainability solutions.,"rondo energy, sustainability",Environmental Impact,https://www.rondoenergy.com,https://twitter.com/rondoenergy,France,English,2013.0,Seed,$104M,USD,55466014,,,,,,,,,,,
HealthTech,Grid Singularity - Innovation Area,Grid Singularity,Grid Singularity is a startup focused on sustainability solutions.,"grid singularity, sustainability",Environmental Impact,https://www.gridsingularity.com,https://twitter.com/gridsingularity,UK,English,2020.0,Series C,$118M,USD,144463551,,,,,,,,,,,
Carbon Management,Fyto - Innovation Area,Fyto,Fyto is a startup focused on sustainability solutions.,"fyto, sustainability",Environmental Impact,https://www.fyto.com,https://twitter.com/fyto,India,English,2012.0,Series C,$63M,USD,80166728,,,,,,,,,,,
Sustainable Mobility,Tenzing - Innovation Area,Tenzing,Tenzing is a startup focused on sustainability solutions.,"tenzing, sustainability",Environmental Impact,https://www.tenzing.com,https://twitter.com/tenzing,Germany,English,2022.0,Series C,$36M,USD,135597325,,,,,,,,,,,
Sustainable Mobility,Vertical Future - Innovation Area,Vertical Future,Vertical Future is a startup focused on sustainability solutions.,"vertical future, sustainability",Environmental Impact,https://www.verticalfuture.com,https://twitter.com/verticalfuture,India,English,2019.0,Series B,$132M,USD,45630703,,,,,,,,,,,
Circular Economy,Net Purpose - Innovation Area,Net Purpose,Net Purpose is a startup focused on sustainability solutions.,"net purpose, sustainability",Environmental Impact,https://www.netpurpose.com,https://twitter.com/netpurpose,USA,English,2013.0,Series A,$74M,USD,85881159,,,,,,,,,,,
HealthTech,Aerobotics - Innovation Area,Aerobotics,Aerobotics is a startup focused on sustainability solutions.,"aerobotics, sustainability",Environmental Impact,https://www.aerobotics.com,https://twitter.com/aerobotics,France,English,2022.0,Series C,$127M,USD,11807696,,,,,,,,,,,
Water Management,Recykal - Innovation Area,Recykal,Recykal is a startup focused on sustainability solutions.,"recykal, sustainability",Environmental Impact,https://www.recykal.com,https://twitter.com/recykal,India,English,2015.0,Series A,$62M,USD,111509718,,,,,,,,,,,
Water Management,Form Energy - Innovation Area,Form Energy,Form Energy is a startup focused on sustainability solutions.,"form energy, sustainability",Environmental Impact,https://www.formenergy.com,https://twitter.com/formenergy,UK,English,2015.0,Series A,$119M,USD,93227753,,,,,,,,,,,
Fintech & Payments,Renewlogy - Innovation Area,Renewlogy,Renewlogy is a startup focused on sustainability solutions.,"renewlogy, sustainability",Environmental Impact,https://www.renewlogy.com,https://twitter.com/renewlogy,Germany,English,2017.0,Seed,$6M,USD,146020753,,,,,,,,,,,
HealthTech,DeepL - Innovation Area,DeepL,DeepL is a startup focused on sustainability solutions.,"deepl, sustainability",Environmental Impact,https://www.deepl.com,https://twitter.com/deepl,UK,English,2023.0,Series C,$122M,USD,84037543,,,,,,,,,,,
HealthTech,Moveworks - Innovation Area,Moveworks,Moveworks is a startup focused on sustainability solutions.,"moveworks, sustainability",Environmental Impact,https://www.moveworks.com,https://twitter.com/moveworks,UK,English,2015.0,Series C,$115M,USD,19886736,,,,,,,,,,,
Fintech & Payments,Iris Energy - Innovation Area,Iris Energy,Iris Energy is a startup focused on sustainability solutions.,"iris energy, sustainability",Environmental Impact,https://www.irisenergy.com,https://twitter.com/irisenergy,USA,English,2019.0,Series A,$27M,USD,116204521,,,,,,,,,,,
Circular Economy,Tapio - Innovation Area,Tapio,Tapio is a startup focused on sustainability solutions.,"tapio, sustainability",Environmental Impact,https://www.tapio.com,https://twitter.com/tapio,UK,English,2017.0,Series A,$29M,USD,102796459,,,,,,,,,,,
Water Management,RainStick - Innovation Area,RainStick,RainStick is a startup focused on sustainability solutions.,"rainstick, sustainability",Environmental Impact,https://www.rainstick.com,https://twitter.com/rainstick,UK,English,2020.0,Series A,$131M,USD,121763411,,,,,,,,,,,
Carbon Management,Charm Industrial - Innovation Area,Charm Industrial,Charm Industrial is a startup focused on sustainability solutions.,"charm industrial, sustainability",Environmental Impact,https://www.charmindustrial.com,https://twitter.com/charmindustrial,UK,English,2020.0,Seed,$19M,USD,125180073,,,,,,,,,,,
Circular Economy,Exeger - Innovation Area,Exeger,Exeger is a startup focused on sustainability solutions.,"exeger, sustainability",Environmental Impact,https://www.exeger.com,https://twitter.com/exeger,UK,English,2015.0,Series C,$92M,USD,29019155,,,,,,,,,,,
HealthTech,Coolar - Innovation Area,Coolar,Coolar is a startup focused on sustainability solutions.,"coolar, sustainability",Environmental Impact,https://www.coolar.com,https://twitter.com/coolar,Germany,English,2023.0,Series A,$130M,USD,129761503,,,,,,,,,,,
Carbon Management,Regen Network - Innovation Area,Regen Network,Regen Network is a startup focused on sustainability solutions.,"regen network, sustainability",Environmental Impact,https://www.regennetwork.com,https://twitter.com/regennetwork,India,English,2015.0,Series A,$62M,USD,121237786,,,,,,,,,,,
Circular Economy,Agoro Carbon - Innovation Area,Agoro Carbon,Agoro Carbon is a startup focused on sustainability solutions.,"agoro carbon, sustainability",Environmental Impact,https://www.agorocarbon.com,https://twitter.com/agorocarbon,France,English,2012.0,Series A,$117M,USD,115243089,,,,,,,,,,,
Sustainable Mobility,Agremo - Innovation Area,Agremo,Agremo is a startup focused on sustainability solutions.,"agremo, sustainability",Environmental Impact,https://www.agremo.com,https://twitter.com/agremo,USA,English,2017.0,Series B,$16M,USD,25255320,,,,,,,,,,,
AgriTech,Seabound - Innovation Area,Seabound,Seabound is a startup focused on sustainability solutions.,"seabound, sustainability",Environmental Impact,https://www.seabound.com,https://twitter.com/seabound,UK,English,2015.0,Series C,$92M,USD,54493665,,,,,,,,,,,
AgriTech,Dexter Energy - Innovation Area,Dexter Energy,Dexter Energy is a startup focused on sustainability solutions.,"dexter energy, sustainability",Environmental Impact,https://www.dexterenergy.com,https://twitter.com/dexterenergy,Germany,English,2020.0,Series C,$73M,USD,143709573,,,,,,,,,,,
Digital & AI,Sencrop - Innovation Area,Sencrop,Sencrop is a startup focused on sustainability solutions.,"sencrop, sustainability",Environmental Impact,https://www.sencrop.com,https://twitter.com/sencrop,France,English,2019.0,Series C,$137M,USD,64262419,,,,,,,,,,,
HealthTech,Tulu - Innovation Area,Tulu,Tulu is a startup focused on sustainability solutions.,"tulu, sustainability",Environmental Impact,https://www.tulu.com,https://twitter.com/tulu,UK,English,2022.0,Seed,$101M,USD,38855702,,,,,,,,,,,
Sustainable Mobility,Skyven Technologies - Innovation Area,Skyven Technologies,Skyven Technologies is a startup focused on sustainability solutions.,"skyven technologies, sustainability",Environmental Impact,https://www.skyventechnologies.com,https://twitter.com/skyventechnologies,France,English,2018.0,Series C,$78M,USD,148191159,,,,,,,,,,,
AgriTech,GreenTech Energy - Innovation Area,GreenTech Energy,GreenTech Energy is a startup focused on sustainability solutions.,"greentech energy, sustainability",Environmental Impact,https://www.greentechenergy.com,https://twitter.com/greentechenergy,USA,English,2016.0,Series C,$139M,USD,20165062,,,,,,,,,,,
AgriTech,Circularise - Innovation Area,Circularise,Circularise is a startup focused on sustainability solutions.,"circularise, sustainability",Environmental Impact,https://www.circularise.com,https://twitter.com/circularise,USA,English,2016.0,Seed,$109M,USD,92177528,,,,,,,,,,,
AgriTech,Novoloop - Innovation Area,Novoloop,Novoloop is a startup focused on sustainability solutions.,"novoloop, sustainability",Environmental Impact,https://www.novoloop.com,https://twitter.com/novoloop,India,English,2020.0,Series C,$112M,USD,93014879,,,,,,,,,,,
Sustainable Mobility,Planet Farms - Innovation Area,Planet Farms,Planet Farms is a startup focused on sustainability solutions.,"planet farms, sustainability",Environmental Impact,https://www.planetfarms.com,https://twitter.com/planetfarms,USA,English,2023.0,Series B,$135M,USD,105758417,,,,,,,,,,,
Circular Economy,Winnow - Innovation Area,Winnow,Winnow is a startup focused on sustainability solutions.,"winnow, sustainability",Environmental Impact,https://www.winnow.com,https://twitter.com/winnow,UK,English,2021.0,Seed,$7M,USD,142048864,,,,,,,,,,,
Water Management,Energy Vault - Innovation Area,Energy Vault,Energy Vault is a startup focused on sustainability solutions.,"energy vault, sustainability",Environmental Impact,https://www.energyvault.com,https://twitter.com/energyvault,India,English,2022.0,Seed,$142M,USD,93170974,,,,,,,,,,,
Digital & AI,Zolar - Innovation Area,Zolar,Zolar is a startup focused on sustainability solutions.,"zolar, sustainability",Environmental Impact,https://www.zolar.com,https://twitter.com/zolar,USA,English,2017.0,Seed,$85M,USD,53606868,,,,,,,,,,,
Fintech & Payments,OroraTech - Innovation Area,OroraTech,OroraTech is a startup focused on sustainability solutions.,"ororatech, sustainability",Environmental Impact,https://www.ororatech.com,https://twitter.com/ororatech,India,English,2015.0,Series B,$19M,USD,144597646,,,,,,,,,,,
Carbon Management,TerraCycle - Innovation Area,TerraCycle,TerraCycle is a startup focused on sustainability solutions.,"terracycle, sustainability",Environmental Impact,https://www.terracycle.com,https://twitter.com/terracycle,France,English,2018.0,Series C,$74M,USD,76444684,,,,,,,,,,,
Water Management,TruLeaf - Innovation Area,TruLeaf,TruLeaf is a startup focused on sustainability solutions.,"truleaf, sustainability",Environmental Impact,https://www.truleaf.com,https://twitter.com/truleaf,India,English,2017.0,Series C,$118M,USD,48473516,,,,,,,,,,,
Circular Economy,Foodles - Innovation Area,Foodles,Foodles is a startup focused on sustainability solutions.,"foodles, sustainability",Environmental Impact,https://www.foodles.com,https://twitter.com/foodles,UK,English,2023.0,Series C,$30M,USD,83534973,,,,,,,,,,,
Water Management,Alchemie Technology - Innovation Area,Alchemie Technology,Alchemie Technology is a startup focused on sustainability solutions.,"alchemie technology, sustainability",Environmental Impact,https://www.alchemietechnology.com,https://twitter.com/alchemietechnology,Germany,English,2022.0,Series B,$84M,USD,89469938,,,,,,,,,,,
Clean Energy,Noya - Innovation Area,Noya,Noya is a startup focused on sustainability solutions.,"noya, sustainability",Environmental Impact,https://www.noya.com,https://twitter.com/noya,France,English,2014.0,Series C,$42M,USD,40656181,,,,,,,,,,,
Sustainable Mobility,ForDays - Innovation Area,ForDays,ForDays is a startup focused on sustainability solutions.,"fordays, sustainability",Environmental Impact,https://www.fordays.com,https://twitter.com/fordays,Germany,English,2014.0,Series C,$89M,USD,26767717,,,,,,,,,,,
Sustainable Mobility,Enerbrain - Innovation Area,Enerbrain,Enerbrain is a startup focused on sustainability solutions.,"enerbrain, sustainability",Environmental Impact,https://www.enerbrain.com,https://twitter.com/enerbrain,France,English,2014.0,Series B,$94M,USD,89893478,,,,,,,,,,,
AgriTech,Urbio - Innovation Area,Urbio,Urbio is a startup focused on sustainability solutions.,"urbio, sustainability",Environmental Impact,https://www.urbio.com,https://twitter.com/urbio,France,English,2022.0,Series A,$30M,USD,45719268,,,,,,,,,,,
Clean Energy,Anellotech - Innovation Area,Anellotech,Anellotech is a startup focused on sustainability solutions.,"anellotech, sustainability",Environmental Impact,https://www.anellotech.com,https://twitter.com/anellotech,Germany,English,2016.0,Series A,$81M,USD,63936865,,,,,,,,,,,
Sustainable Mobility,Better Dairy - Innovation Area,Better Dairy,Better Dairy is a startup focused on sustainability solutions.,"better dairy, sustainability",Environmental Impact,https://www.betterdairy.com,https://twitter.com/betterdairy,Germany,English,2016.0,Series C,$101M,USD,64581687,,,,,,,,,,,
Fintech & Payments,CarbonCure - Innovation Area,CarbonCure,CarbonCure is a startup focused on sustainability solutions.,"carboncure, sustainability",Environmental Impact,https://www.carboncure.com,https://twitter.com/carboncure,USA,English,2020.0,Series A,$108M,USD,107908686,,,,,,,,,,,
HealthTech,Joro - Innovation Area,Joro,Joro is a startup focused on sustainability solutions.,"joro, sustainability",Environmental Impact,https://www.joro.com,https://twitter.com/joro,UK,English,2012.0,Series A,$94M,USD,62148772,,,,,,,,,,,
Digital & AI,Yego - Innovation Area,Yego,Yego is a startup focused on sustainability solutions.,"yego, sustainability",Environmental Impact,https://www.yego.com,https://twitter.com/yego,France,English,2016.0,Seed,$137M,USD,45489831,,,,,,,,,,,
Digital & AI,Green Software Foundation - Innovation Area,Green Software Foundation,Green Software Foundation is a startup focused on sustainability solutions.,"green software foundation, sustainability",Environmental Impact,https://www.greensoftwarefoundation.com,https://twitter.com/greensoftwarefoundation,France,English,2019.0,Series B,$60M,USD,27032104,,,,,,,,,,,
Fintech & Payments,BlueSky Energy - Innovation Area,BlueSky Energy,BlueSky Energy is a startup focused on sustainability solutions.,"bluesky energy, sustainability",Environmental Impact,https://www.blueskyenergy.com,https://twitter.com/blueskyenergy,Germany,English,2020.0,Series C,$138M,USD,19309722,,,,,,,,,,,
Circular Economy,FarmWise - Innovation Area,FarmWise,FarmWise is a startup focused on sustainability solutions.,"farmwise, sustainability",Environmental Impact,https://www.farmwise.com,https://twitter.com/farmwise,UK,English,2012.0,Series C,$23M,USD,79778488,,,,,,,,,,,
Fintech & Payments,Planet Labs - Innovation Area,Planet Labs,Planet Labs is a startup focused on sustainability solutions.,"planet labs, sustainability",Environmental Impact,https://www.planetlabs.com,https://twitter.com/planetlabs,USA,English,2021.0,Series B,$111M,USD,145790357,,,,,,,,,,,
Carbon Management,Cervest - Innovation Area,Cervest,Cervest is a startup focused on sustainability solutions.,"cervest, sustainability",Environmental Impact,https://www.cervest.com,https://twitter.com/cervest,USA,English,2022.0,Series A,$93M,USD,54131292,,,,,,,,,,,
Digital & AI,Carbon Upcycling - Innovation Area,Carbon Upcycling,Carbon Upcycling is a startup focused on sustainability solutions.,"carbon upcycling, sustainability",Environmental Impact,https://www.carbonupcycling.com,https://twitter.com/carbonupcycling,UK,English,2019.0,Series A,$121M,USD,138268028,,,,,,,,,,,
Water Management,Urban Electric - Innovation Area,Urban Electric,Urban Electric is a startup focused on sustainability solutions.,"urban electric, sustainability",Environmental Impact,https://www.urbanelectric.com,https://twitter.com/urbanelectric,USA,English,2019.0,Series A,$129M,USD,119787960,,,,,,,,,,,
Clean Energy,Eden Renewables - Innovation Area,Eden Renewables,Eden Renewables is a startup focused on sustainability solutions.,"eden renewables, sustainability",Environmental Impact,https://www.edenrenewables.com,https://twitter.com/edenrenewables,Germany,English,2021.0,Series C,$78M,USD,19183296,,,,,,,,,,,
AgriTech,Blue Frontier - Innovation Area,Blue Frontier,Blue Frontier is a startup focused on sustainability solutions.,"blue frontier, sustainability",Environmental Impact,https://www.bluefrontier.com,https://twitter.com/bluefrontier,India,English,2019.0,Series B,$124M,USD,121880453,,,,,,,,,,,
Circular Economy,Seinergy - Innovation Area,Seinergy,Seinergy is a startup focused on sustainability solutions.,"seinergy, sustainability",Environmental Impact,https://www.seinergy.com,https://twitter.com/seinergy,USA,English,2017.0,Series B,$94M,USD,147436336,,,,,,,,,,,
Fintech & Payments,Pivot Bio - Innovation Area,Pivot Bio,Pivot Bio is a startup focused on sustainability solutions.,"pivot bio, sustainability",Environmental Impact,https://www.pivotbio.com,https://twitter.com/pivotbio,France,English,2019.0,Series B,$15M,USD,53910310,,,,,,,,,,,
Fintech & Payments,Seez - Innovation Area,Seez,Seez is a startup focused on sustainability solutions.,"seez, sustainability",Environmental Impact,https://www.seez.com,https://twitter.com/seez,Germany,English,2016.0,Series A,$119M,USD,91883837,,,,,,,,,,,
Circular Economy,Relectrify - Innovation Area,Relectrify,Relectrify is a startup focused on sustainability solutions.,"relectrify, sustainability",Environmental Impact,https://www.relectrify.com,https://twitter.com/relectrify,France,English,2014.0,Series C,$128M,USD,10995632,,,,,,,,,,,
Sustainable Mobility,Enian - Innovation Area,Enian,Enian is a startup focused on sustainability solutions.,"enian, sustainability",Environmental Impact,https://www.enian.com,https://twitter.com/enian,India,English,2023.0,Seed,$86M,USD,81614629,,,,,,,,,,,
Circular Economy,Deep Branch - Innovation Area,Deep Branch,Deep Branch is a startup focused on sustainability solutions.,"deep branch, sustainability",Environmental Impact,https://www.deepbranch.com,https://twitter.com/deepbranch,India,English,2021.0,Series C,$7M,USD,132353852,,,,,,,,,,,
Carbon Management,Fairbrics - Innovation Area,Fairbrics,Fairbrics is a startup focused on sustainability solutions.,"fairbrics, sustainability",Environmental Impact,https://www.fairbrics.com,https://twitter.com/fairbrics,Germany,English,2016.0,Seed,$90M,USD,89772913,,,,,,,,,,,
Clean Energy,XFuel - Innovation Area,XFuel,XFuel is a startup focused on sustainability solutions.,"xfuel, sustainability",Environmental Impact,https://www.xfuel.com,https://twitter.com/xfuel,UK,English,2015.0,Seed,$118M,USD,31687352,,,,,,,,,,,
Water Management,CarbonCapture - Innovation Area,CarbonCapture,CarbonCapture is a startup focused on sustainability solutions.,"carboncapture, sustainability",Environmental Impact,https://www.carboncapture.com,https://twitter.com/carboncapture,UK,English,2021.0,Series B,$82M,USD,124499250,,,,,,,,,,,
Clean Energy,Magnomer - Innovation Area,Magnomer,Magnomer is a startup focused on sustainability solutions.,"magnomer, sustainability",Environmental Impact,https://www.magnomer.com,https://twitter.com/magnomer,India,English,2022.0,Series C,$43M,USD,14937610,,,,,,,,,,,
Digital & AI,Kelvin - Innovation Area,Kelvin,Kelvin is a startup focused on sustainability solutions.,"kelvin, sustainability",Environmental Impact,https://www.kelvin.com,https://twitter.com/kelvin,France,English,2022.0,Series A,$108M,USD,128361493,,,,,,,,,,,
Circular Economy,Plexigrid - Innovation Area,Plexigrid,Plexigrid is a startup focused on sustainability solutions.,"plexigrid, sustainability",Environmental Impact,https://www.plexigrid.com,https://twitter.com/plexigrid,UK,English,2021.0,Series A,$32M,USD,29153124,,,,,,,,,,,
Water Management,MyForest Foods - Innovation Area,MyForest Foods,MyForest Foods is a startup focused on sustainability solutions.,"myforest foods, sustainability",Environmental Impact,https://www.myforestfoods.com,https://twitter.com/myforestfoods,Germany,English,2016.0,Series C,$13M,USD,121289528,,,,,,,,,,,
AgriTech,Cemvita Factory - Innovation Area,Cemvita Factory,Cemvita Factory is a startup focused on sustainability solutions.,"cemvita factory, sustainability",Environmental Impact,https://www.cemvitafactory.com,https://twitter.com/cemvitafactory,India,English,2016.0,Series A,$111M,USD,41581729,,,,,,,,,,,
Digital & AI,Bboxx - Innovation Area,Bboxx,Bboxx is a startup focused on sustainability solutions.,"bboxx, sustainability",Environmental Impact,https://www.bboxx.com,https://twitter.com/bboxx,India,English,2017.0,Series A,$79M,USD,38102153,,,,,,,,,,,
HealthTech,Plan A - Innovation Area,Plan A,Plan A is a startup focused on sustainability solutions.,"plan a, sustainability",Environmental Impact,https://www.plana.com,https://twitter.com/plana,UK,English,2019.0,Series B,$8M,USD,122672550,,,,,,,,,,,
Digital & AI,Nowi - Innovation Area,Nowi,Nowi is a startup focused on sustainability solutions.,"nowi, sustainability",Environmental Impact,https://www.nowi.com,https://twitter.com/nowi,India,English,2017.0,Series A,$99M,USD,78824039,,,,,,,,,,,
Fintech & Payments,Terralink - Innovation Area,Terralink,Terralink is a startup focused on sustainability solutions.,"terralink, sustainability",Environmental Impact,https://www.terralink.com,https://twitter.com/terralink,Germany,English,2018.0,Series A,$114M,USD,50517649,,,,,,,,,,,
Circular Economy,Iceotope - Innovation Area,Iceotope,Iceotope is a startup focused on sustainability solutions.,"iceotope, sustainability",Environmental Impact,https://www.iceotope.com,https://twitter.com/iceotope,France,English,2022.0,Series A,$25M,USD,44988674,,,,,,,,,,,
Circular Economy,Ombrea - Innovation Area,Ombrea,Ombrea is a startup focused on sustainability solutions.,"ombrea, sustainability",Environmental Impact,https://www.ombrea.com,https://twitter.com/ombrea,USA,English,2016.0,Series A,$148M,USD,98706121,,,,,,,,,,,
HealthTech,Power Ledger - Innovation Area,Power Ledger,Power Ledger is a startup focused on sustainability solutions.,"power ledger, sustainability",Environmental Impact,https://www.powerledger.com,https://twitter.com/powerledger,India,English,2021.0,Series C,$16M,USD,28451930,,,,,,,,,,,
Carbon Management,Carbo Culture - Innovation Area,Carbo Culture,Carbo Culture is a startup focused on sustainability solutions.,"carbo culture, sustainability",Environmental Impact,https://www.carboculture.com,https://twitter.com/carboculture,USA,English,2013.0,Series B,$55M,USD,32233553,,,,,,,,,,,
Fintech & Payments,Lilium - Innovation Area,Lilium,Lilium is a startup focused on sustainability solutions.,"lilium, sustainability",Environmental Impact,https://www.lilium.com,https://twitter.com/lilium,UK,English,2019.0,Series B,$114M,USD,33004794,,,,,,,,,,,
HealthTech,Ecoligo - Innovation Area,Ecoligo,Ecoligo is a startup focused on sustainability solutions.,"ecoligo, sustainability",Environmental Impact,https://www.ecoligo.com,https://twitter.com/ecoligo,Germany,English,2021.0,Seed,$48M,USD,97680346,,,,,,,,,,,
Carbon Management,Sourcemap - Innovation Area,Sourcemap,Sourcemap is a startup focused on sustainability solutions.,"sourcemap, sustainability",Environmental Impact,https://www.sourcemap.com,https://twitter.com/sourcemap,USA,English,2017.0,Series C,$17M,USD,117475733,,,,,,,,,,,
Fintech & Payments,Cloover - Innovation Area,Cloover,Cloover is a startup focused on sustainability solutions.,"cloover, sustainability",Environmental Impact,https://www.cloover.com,https://twitter.com/cloover,France,English,2018.0,Series C,$19M,USD,55004724,,,,,,,,,,,
AgriTech,UbiQD - Innovation Area,UbiQD,UbiQD is a startup focused on sustainability solutions.,"ubiqd, sustainability",Environmental Impact,https://www.ubiqd.com,https://twitter.com/ubiqd,France,English,2016.0,Series C,$19M,USD,54597864,,,,,,,,,,,
Digital & AI,Reath - Innovation Area,Reath,Reath is a startup focused on sustainability solutions.,"reath, sustainability",Environmental Impact,https://www.reath.com,https://twitter.com/reath,Germany,English,2013.0,Series C,$105M,USD,88400365,,,,,,,,,,,
Sustainable Mobility,CarbonCloud - Innovation Area,CarbonCloud,CarbonCloud is a startup focused on sustainability solutions.,"carboncloud, sustainability",Environmental Impact,https://www.carboncloud.com,https://twitter.com/carboncloud,India,English,2017.0,Series C,$115M,USD,96183587,,,,,,,,,,,
AgriTech,Persefoni - Innovation Area,Persefoni,Persefoni is a startup focused on sustainability solutions.,"persefoni, sustainability",Environmental Impact,https://www.persefoni.com,https://twitter.com/persefoni,France,English,2012.0,Series A,$8M,USD,129178797,,,,,,,,,,,
Carbon Management,ZeroNorth - Innovation Area,ZeroNorth,ZeroNorth is a startup focused on sustainability solutions.,"zeronorth, sustainability",Environmental Impact,https://www.zeronorth.com,https://twitter.com/zeronorth,UK,English,2013.0,Series A,$148M,USD,138669788,,,,,,,,,,,
HealthTech,Khepra - Innovation Area,Khepra,Khepra is a startup focused on sustainability solutions.,"khepra, sustainability",Environmental Impact,https://www.khepra.com,https://twitter.com/khepra,USA,English,2017.0,Seed,$36M,USD,73969589,,,,,,,,,,,
Water Management,Flock Freight - Innovation Area,Flock Freight,Flock Freight is a startup focused on sustainability solutions.,"flock freight, sustainability",Environmental Impact,https://www.flockfreight.com,https://twitter.com/flockfreight,UK,English,2020.0,Series B,$129M,USD,79250629,,,,,,,,,,,
Circular Economy,Vortex Bladeless - Innovation Area,Vortex Bladeless,Vortex Bladeless is a startup focused on sustainability solutions.,"vortex bladeless, sustainability",Environmental Impact,https://www.vortexbladeless.com,https://twitter.com/vortexbladeless,USA,English,2016.0,Seed,$38M,USD,113814567,,,,,,,,,,,
Carbon Management,Foodvisor - Innovation Area,Foodvisor,Foodvisor is a startup focused on sustainability solutions.,"foodvisor, sustainability",Environmental Impact,https://www.foodvisor.com,https://twitter.com/foodvisor,France,English,2016.0,Series C,$32M,USD,139758916,,,,,,,,,,,
Water Management,Solugen - Innovation Area,Solugen,Solugen is a startup focused on sustainability solutions.,"solugen, sustainability",Environmental Impact,https://www.solugen.com,https://twitter.com/solugen,UK,English,2012.0,Series C,$63M,USD,21706660,,,,,,,,,,,
Clean Energy,Eavor Technologies - Innovation Area,Eavor Technologies,Eavor Technologies is a startup focused on sustainability solutions.,"eavor technologies, sustainability",Environmental Impact,https://www.eavortechnologies.com,https://twitter.com/eavortechnologies,Germany,English,2019.0,Seed,$126M,USD,69720792,,,,,,,,,,,
Clean Energy,Next Energy Technologies - Innovation Area,Next Energy Technologies,Next Energy Technologies is a startup focused on sustainability solutions.,"next energy technologies, sustainability",Environmental Impact,https://www.nextenergytechnologies.com,https://twitter.com/nextenergytechnologies,USA,English,2022.0,Series C,$52M,USD,130111192,,,,,,,,,,,
Fintech & Payments,SunCulture - Innovation Area,SunCulture,SunCulture is a startup focused on sustainability solutions.,"sunculture, sustainability",Environmental Impact,https://www.sunculture.com,https://twitter.com/sunculture,Germany,English,2022.0,Series A,$137M,USD,25238844,,,,,,,,,,,
Sustainable Mobility,Solugen Labs - Innovation Area,Solugen Labs,Solugen Labs is a startup focused on sustainability solutions.,"solugen labs, sustainability",Environmental Impact,https://www.solugenlabs.com,https://twitter.com/solugenlabs,UK,English,2023.0,Series B,$84M,USD,37975094,,,,,,,,,,,
Water Management,Lumenaza - Innovation Area,Lumenaza,Lumenaza is a startup focused on sustainability solutions.,"lumenaza, sustainability",Environmental Impact,https://www.lumenaza.com,https://twitter.com/lumenaza,Germany,English,2014.0,Series C,$115M,USD,14235415,,,,,,,,,,,
Water Management,Reflaunt - Innovation Area,Reflaunt,Reflaunt is a startup focused on sustainability solutions.,"reflaunt, sustainability",Environmental Impact,https://www.reflaunt.com,https://twitter.com/reflaunt,France,English,2017.0,Seed,$56M,USD,84227379,,,,,,,,,,,
Circular Economy,C16 Biosciences - Innovation Area,C16 Biosciences,C16 Biosciences is a startup focused on sustainability solutions.,"c16 biosciences, sustainability",Environmental Impact,https://www.c16biosciences.com,https://twitter.com/c16biosciences,Germany,English,2023.0,Seed,$93M,USD,18657934,,,,,,,,,,,
HealthTech,BeeHero - Innovation Area,BeeHero,BeeHero is a startup focused on sustainability solutions.,"beehero, sustainability",Environmental Impact,https://www.beehero.com,https://twitter.com/beehero,France,English,2023.0,Series A,$73M,USD,70971235,,,,,,,,,,,
HealthTech,Qinous - Innovation Area,Qinous,Qinous is a startup focused on sustainability solutions.,"qinous, sustainability",Environmental Impact,https://www.qinous.com,https://twitter.com/qinous,India,English,2015.0,Series B,$76M,USD,89152021,,,,,,,,,,,
Carbon Management,Formo - Innovation Area,Formo,Formo is a startup focused on sustainability solutions.,"formo, sustainability",Environmental Impact,https://www.formo.com,https://twitter.com/formo,India,English,2022.0,Series B,$123M,USD,109477210,,,,,,,,,,,
HealthTech,Lyra Health - Innovation Area,Lyra Health,Lyra Health is a startup focused on sustainability solutions.,"lyra health, sustainability",Environmental Impact,https://www.lyrahealth.com,https://twitter.com/lyrahealth,Germany,English,2022.0,Series C,$6M,USD,127040738,,,,,,,,,,,
